ibge7,UF,Município,Faixa Populacional,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,Porte,Perfil de Risco,DimI,DimII,DimIII,Total,icm
1702109,TO,Araguaína,6 - 100001 até 500000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Médio/Grande,Prioritário,8,7,5,20,A
2800308,SE,Aracaju,7 - Maior que 500000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Médio/Grande,Prioritário,8,7,5,20,A
3131901,MG,Itabirito,5 - 50001 até 100000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Pequeno,Prioritário,8,7,5,20,A
2504009,PB,Campina Grande,6 - 100001 até 500000,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Médio/Grande,Prioritário,8,6,5,19,A
3106200,MG,Belo Horizonte,7 - Maior que 500000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,Médio/Grande,Prioritário,8,6,5,19,A
3127701,MG,Governador Valadares,6 - 100001 até 500000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,Médio/Grande,Prioritário,8,6,5,19,A
3136702,MG,Juiz de Fora,7 - Maior que 500000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,Médio/Grande,Prioritário,8,6,5,19,A
3300803,RJ,Cachoeiras de Macacu,5 - 50001 até 100000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,Pequeno,Prioritário,8,7,4,19,A
3302403,RJ,Macaé,6 - 100001 até 500000,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Médio/Grande,Prioritário,8,6,5,19,A
3302601,RJ,Mangaratiba,4 - 20001 até 50000,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Pequeno,Prioritário,7,7,5,19,A
3303302,RJ,Niterói,7 - Maior que 500000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,Médio/Grande,Prioritário,8,6,5,19,A
3539806,SP,Poá,6 - 100001 até 500000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Médio/Grande,Prioritário,8,7,4,19,A
3547809,SP,Santo André,7 - Maior que 500000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,Médio/Grande,Prioritário,8,6,5,19,A
3548500,SP,Santos,6 - 100001 até 500000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,Médio/Grande,Prioritário,8,6,5,19,A
4106902,PR,Curitiba,7 - Maior que 500000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,Médio/Grande,Prioritário,8,6,5,19,A
4109401,PR,Guarapuava,6 - 100001 até 500000,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Médio/Grande,Prioritário,7,7,5,19,A
4215802,SC,São Bento do Sul,5 - 50001 até 100000,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Pequeno,Prioritário,8,6,5,19,A
