UF,Alagamento_x,Colapso_x,Corrida de massa_x,Deslizamento_x,Enchente_x,Enxurrada_x,Erosão_x,Expansão/Contração de argilas_x,Inundação_x,Outros_x,Queda_x,Rastejo_x,Subsidência_x,Tombamento_x,Alagamento_y,Colapso_y,Corrida de massa_y,Deslizamento_y,Enchente_y,Enxurrada_y,Erosão_y,Expansão/Contração de argilas_y,Inundação_y,Outros_y,Queda_y,Rastejo_y,Subsidência_y,Tombamento_y,n_risco,area_risco
AC,0,0,0,22,13,3,58,0,56,0,0,13,0,0,0.0,0.0,0.0,5.4207042195136055e-05,0.00015064238306413584,1.7396812455996062e-05,8.472233602877435e-05,0.0,0.00285010053187614,0.0,0.0,6.524685923769733e-05,0.0,0.0,165,0.0032223159648578797
AL,1,0,0,147,0,8,2,0,49,0,0,0,0,0,7.76909869629756e-07,0.0,0.0,0.0001354929209272695,0.0,0.0006295557331906234,3.127883872760736e-07,0.0,0.001990158076797056,0.0,0.0,0.0,0.0,0.0,207,0.0027562964291718544
AM,43,1,0,441,34,7,151,0,116,0,2,4,1,0,7.805841104226381e-05,1.3029963900785e-06,0.0,0.0007139602833826351,0.00013463521164195274,0.0020807141009641264,0.0005948131449636649,0.0,0.0019613782967878896,0.0,5.46056950548392e-06,1.8595234940710875e-05,1.23059640855373e-07,0.0,800,0.005589041309259662
AP,5,0,0,13,0,0,4,0,27,0,0,0,0,0,2.0855114131308777e-05,0.0,0.0,3.2066566253326915e-06,0.0,0.0,9.333566016896453e-06,0.0,0.0007043028973159577,0.0,0.0,0.0,0.0,0.0,49,0.0007376982340894957
BA,1,4,1,442,15,20,8,0,329,0,20,1,5,0,9.78591419076101e-06,2.4181642807502713e-05,7.16215387746648e-08,0.0005588927763398993,0.0001018934965925601,3.981919564796548e-05,1.3514186397308165e-05,0.0,0.006434901238336933,0.0,3.6161165567772533e-05,2.72805334576076e-07,3.350073860338667e-05,0.0,846,0.00725299478135744
CE,2,0,1,63,33,11,11,0,292,0,42,4,0,0,4.079279043806226e-06,0.0,3.16610484872949e-05,0.0002845319190194234,0.0015534704928407872,5.218170815349842e-06,5.9119626981630894e-05,0.0,0.002641749352809907,0.0,0.00016999072084472147,1.264684173601851e-06,0.0,0.0,459,0.004751085295016523
DF,0,0,0,18,0,2,1,0,1,0,0,0,0,0,0.0,0.0,0.0,8.275106604060789e-06,0.0,1.188194652366224e-06,2.52061057402494e-07,0.0,6.26372907093358e-07,0.0,0.0,0.0,0.0,0.0,22,1.0341735220922864e-05
ES,2,1,5,822,20,36,30,0,261,0,52,4,0,1,1.070321015652963e-05,1.22198569652738e-05,7.121542519755151e-05,0.0028871305925234937,0.0001866180642969376,0.00016867704088645993,0.0006013567861261546,0.0,0.0018484217231481302,0.0,0.00020804499183048222,2.4576137083129123e-06,0.0,1.04764335742475e-07,1234,0.0059969500691750685
GO,0,0,0,46,6,7,45,0,31,0,1,0,0,0,0.0,0.0,0.0,3.999010024522826e-05,0.00011023433119478885,2.319950502673657e-06,4.4576814330704026e-05,0.0,0.00022931195469506606,0.0,6.61138668293794e-08,0.0,0.0,0.0,136,0.00042649926483529025
MA,7,0,0,106,3,1,57,0,201,0,0,0,4,0,0.00011737565014206111,0.0,0.0,0.0006461739094811618,5.0800405986232305e-05,5.92333051277664e-06,9.320420682950055e-05,0.0,0.008075110760516079,0.0,0.0,0.0,1.670823606407636e-05,0.0,379,0.009005296499531888
MG,2,2,9,2613,31,63,131,0,555,0,109,35,3,2,6.11448278282386e-08,1.6761014124537136e-05,0.00032887695652599955,0.004784020223182383,0.0003366123836014646,0.0005080231124761377,0.0002425613121594331,0.0,0.02957058621636522,0.0,0.00012160376566026873,2.774717424740499e-05,3.228909974084802e-07,2.88464526781883e-07,3555,0.035937464658694865
MS,0,1,0,7,3,0,2,0,27,0,2,0,0,0,0.0,1.99212451598752e-06,0.0,9.649670835175494e-06,0.00025329573512017036,0.0,1.5139269369091372e-05,0.0,0.001016109231017835,0.0,1.050651107534574e-06,0.0,0.0,0.0,42,0.0012972366819657942
MT,17,2,0,15,39,10,6,0,44,0,9,0,1,0,5.49303303116908e-06,3.90823707818806e-08,0.0,1.5436521165314937e-05,7.73337774182225e-05,5.791771946194435e-06,8.515152343778418e-06,0.0,7.118875591289452e-05,0.0,1.6578419341913793e-05,0.0,1.03346255262457e-06,0.0,143,0.00020140997608289414
PA,33,1,1,213,8,47,239,0,583,0,5,0,0,0,0.00010686994250639048,8.55062311993228e-08,3.33464779318237e-05,0.0005904569672409232,1.547805454439364e-05,7.961164318271394e-05,0.0008190757439445462,0.0,0.06180927699471981,0.0,9.075911252872283e-06,0.0,0.0,0.0,1130,0.06346327724155468
PB,0,1,0,83,20,2,11,0,74,0,1,0,0,0,0.0,2.17617547895845e-08,0.0,9.196441230630946e-05,0.00012180411358314303,7.66073411440897e-07,4.487808343792508e-05,0.0,0.0011619766935196429,0.0,8.80446909912797e-06,0.0,0.0,0.0,192,0.001430215607112379
PE,6,0,0,586,8,15,29,1,239,0,17,12,0,1,3.891404593887361e-06,0.0,0.0,0.0004214079260774913,0.00014519646923990743,9.175238388317586e-06,5.8993137203797866e-05,0.0067929665275502,0.0020613457234064385,0.0,4.079913090632776e-05,7.5235395087206935e-06,0.0,1.37451075678484e-06,914,0.009542673607631873
PI,3,0,0,15,0,1,1,0,79,0,2,0,0,1,2.506531293027013e-05,0.0,0.0,0.00027516267394715104,0.0,1.26022652714663e-05,1.64422178767991e-05,0.0,0.003183464180537218,0.0,2.4599104815463498e-05,0.0,0.0,6.53165867786064e-06,102,0.0035438674140562286
PR,0,1,0,107,5,2,9,0,115,0,2,1,2,0,0.0,1.15744375612731e-08,0.0,0.00013478363486217376,0.00027506880538944546,9.82351940517903e-06,5.611784794481159e-06,0.0,0.0011395921433940321,0.0,5.787585647498702e-06,2.79275263966875e-07,6.435510476253208e-07,0.0,244,0.0015716018742419637
RJ,0,0,17,314,0,3,3,0,1,0,4,4,0,0,0.0,0.0,0.0004935422981727234,0.002108049696465817,0.0,0.0014841162148804443,2.5704641368306968e-06,0.0,6.55948780772115e-06,0.0,5.2178677003477605e-05,3.038788024803651e-05,0.0,0.0,346,0.004177404718715051
