UF,tempo_medio_analise,tempo_medio_liberacao,qtd
AC,136 days 12:00:00,217 days 12:00:00,2
AL,99 days 00:00:00,174 days 09:36:00,15
AM,179 days 16:00:00,241 days 00:00:00,3
BA,155 days 18:00:00,271 days 13:38:10.909090908,44
CE,104 days 13:20:00,174 days 02:40:00,9
ES,112 days 18:00:00,181 days 04:00:00,12
GO,61 days 12:00:00,126 days 07:12:00,10
MA,154 days 18:00:00,218 days 20:00:00,12
MG,101 days 00:48:09.632107023,212 days 08:11:14.247491640,299
MS,232 days 08:43:38.181818180,237 days 10:54:32.727272728,11
MT,229 days 03:12:00,291 days 04:48:00,15
PA,151 days 21:49:05.454545454,145 days 18:32:43.636363636,22
PB,65 days 00:00:00,323 days 00:00:00,1
PE,134 days 12:55:23.076923076,312 days 14:46:09.230769232,13
PR,129 days 23:21:04.864864864,203 days 20:45:24.324324324,37
RJ,112 days 07:30:00,300 days 03:00:00,16
RN,60 days 06:00:00,113 days 12:00:00,4
RO,67 days 00:00:00,524 days 00:00:00,3
RS,65 days 02:26:49.411764706,181 days 08:00:00,255
SC,120 days 23:31:29.108910892,197 days 07:07:43.366336634,101
SE,42 days 00:00:00,126 days 16:00:00,3
SP,155 days 01:39:18.620689656,266 days 03:18:37.241379312,29
TO,251 days 00:00:00,242 days 08:00:00,3
