ibge7,CNPJ,UF,Município,Processo,Protocolo,Ano,Nº Siafi,Nº município no Siafi,Nº Termo de Compromisso,Cobrade,Data Envio,Valor Custo,Valor Liberado,Plano Interno,PTRES,PT,Fonte,GND,MP - Nº da lei,Data Empenho,Valor Empenhado,Data Dou,Fim vigência,Status,Nº de pessoas atendidas,Parcela 1,Parcela 2,Parcela 3,tempo_medio_analise,tempo_medio_liberacao
4212270,95993085000162,SC,Passos Maia,59053.008773/2022-85,REC-SC-4212270-20221118-01,2022,5743,5743,1AALZW,13214,2022-11-22,203637.06,203637.06,SC5743HRCH0,213102.0,06.182.2218.22BO.6500,300,444042,01.102,2022-12-12,203637.06,2023-03-17,15/03/2024,ACOMPANHAMENTO - RECURSO TRANSFERIDO,104,203637.06,,,20 days,95 days
3160306,18349951000136,MG,Santo Antônio do Jacinto,59053.005872/2021-24,REC-MG-3160306-20211227-01,2021,5205,5205,1AANHG,13214,2021-12-27,1007794.79,1007794.79,MG5205HRCH0,213102.0,06.182.2218.22BO.6500,300,444042,01.102,2022-07-25,1007794.79,2023-07-20,18/07/2024,ACOMPANHAMENTO - RECURSO TRANSFERIDO,35,302338.44,705456.35,,210 days,360 days
4209201,82939471000124,SC,Lacerdópolis,59053.002381/2018-26,REC-SC-4209201-20181126-01,2018,8181,8181,697228,12200,2018-11-28,515517.31,515517.31,SC8181PRCH1,128816.0,06.182.2040.22BO.0001,100,444042,13.587,2018-12-19,515517.31,2019-04-22,21/04/2020,ACOMPANHAMENTO - RECURSO TRANSFERIDO,210,515517.31,,,21 days,124 days
4301925,93539153000192,RS,Barra do Rio Azul,59053.011852/2023-54,REC-RS-4301925-20231114-01,2023,5959,5959,1AATUB,13214,2023-11-17,3939970.01,3940000.0,RS5959HRCH0,249096.0,06.182.2318.22BO.6504,300,444042,01.244,2024-04-11,3940000.0,2024-08-06,06/08/2025,ACOMPANHAMENTO - RECURSO TRANSFERIDO,2795,1182000.0,2758000.0,,146 days,117 days
4313466,53099656000170,RS,Novo Xingu,59053.015771/2024-12,REC-RS-4313466-20240510-01,2024,1152,1152,1aavsp,13214,2024-05-15,783580.07,746980.0,RS1152HRCH0,248242.0,06.182.2318.22BO.6504,300,444042,01.218,2024-05-29,746980.0,2024-12-24,24/12/2025,ACOMPANHAMENTO - RECURSO TRANSFERIDO,65,746980.0,,,14 days,209 days
4316907,88488366000100,RS,Santa Maria,59053.018691/2024-19,REC-RS-4316907-20240717-13,2024,7337,7337,1AAYWE,13214,2024-07-24,2431396.74,2431396.74,RS8841HRCH0,250795.0,06.182.2318.22BO.6504,300,444042,01.265,2025-02-25,2431396.74,2025-08-01,01/08/2026,ACOMPANHAMENTO - RECURSO TRANSFERIDO,2000,729419.02,1701977.72,,216 days,157 days
4201950,1605479000152,SC,Balneário Arroio do Silva,59053.009811/2023-06,REC-SC-4201950-20230412-01,2023,888,888,1AAQXK,13215,2023-04-25,328964.28,328964.28,SC0888HRCH0,185432.0,06.182.2218.22BO.6500,300,444042,01.180,2023-07-26,328964.28,2024-02-15,14/02/2025,ACOMPANHAMENTO - RECURSO TRANSFERIDO,1205,328964.28,,,92 days,204 days
4320677,94577632000166,RS,Sinimbu,59053.017172/2024-25,REC-RS-4320677-20240612-06,2024,5767,5767,1AAWUG,13214,2024-06-13,6306900.0,6306900.0,RS5767HRCH0,248242.0,06.182.2318.22BO.6504,300,444042,01.218,2024-07-30,6306900.0,2025-02-27,27/02/2026,ACOMPANHAMENTO - RECURSO TRANSFERIDO,5000,1892070.0,2522760.0,1892070.0,47 days,212 days
3139409,18385088000172,MG,Manhuaçu,59053.005890/2021-14,REC-MG-3139409-20211231-01,2021,4787,4787,1AAJLJ,13214,2021-12-31,1110695.72,1110695.72,MG4787HRCH0,213102.0,06.182.2218.22BO.6500,300,444042,01.102,2022-02-02,1110695.72,2022-06-29,28/06/2023,ACOMPANHAMENTO - RECURSO TRANSFERIDO,4600,333208.72,777487.0,,33 days,147 days
5006259,37226644000102,MS,Novo Horizonte do Sul,59053.001501/2018-78,REC-MS-5006259-20180105-01,2018,159,159,1AAAEO,13214,2018-02-03,381555.69,381555.69,MS0159PRCH1,128816.0,06.182.2040.22BO.0001,100,444042,13.587,2018-10-17,381555.69,2020-04-30,29/04/2021,ACOMPANHAMENTO - RECURSO TRANSFERIDO,195,381555.69,,,256 days,561 days
3112000,17888090000100,MG,Candeias,59053.001749/2018-39,REC-MG-3112000-20180402-01,2018,4239,4239,697490,13214,2018-06-28,648301.76,648301.76,MG4239PRCH1,128816.0,06.182.2040.22BO.0001,100,444042,13.587,2018-12-07,648301.76,2019-05-29,28/05/2020,ACOMPANHAMENTO - RECURSO TRANSFERIDO,1416,648301.76,,,162 days,173 days
3133204,18493239000106,MG,Itanhomi,59053.007591/2022-97,REC-MG-3133204-20220627-01,2022,4663,4663,1AALTX,11321,2022-06-28,3618441.18,3618441.18,MG4663HRCH0,213102.0,06.182.2218.22BO.6500,300,444042,01.102,2022-10-24,3618441.18,2023-02-16,15/02/2024,ACOMPANHAMENTO - RECURSO TRANSFERIDO,24,1085532.35,2532908.83,,118 days,115 days
2913507,13858303000191,BA,Iguaí,59053.006374/2022-80,REC-BA-2913507-20220214-02,2022,3571,3571,1AAQWP,13214,2022-02-21,1399579.39,1399579.39,BA3571HRCH0,213102.0,06.182.2218.22BO.6500,300,444042,01.102,2022-11-10,1399579.39,2024-02-05,03/02/2025,ACOMPANHAMENTO - RECURSO TRANSFERIDO,80,419873.82,979705.57,,262 days,452 days
3554003,46634564000187,SP,Tatuí,59053.000101/2017-64,REC-SP-3554003-20170127-01,2017,7181,7181,690462,24100,2017-02-07,1968014.58,1062000.0,SP7181PCHU1,128816.0,06.182.2040.22BO.0001,100,444042,.,2017-06-30,1062000.0,2017-06-30,30/06/2018,ACOMPANHAMENTO - RECURSO TRANSFERIDO,82500,318600.0,743400.0,,143 days,0 days
2106359,1555070000179,MA,Marajá do Sena,59053.001681/2018-98,REC-MA-2106359-20180401-01,2018,192,192,697257,12200,2018-04-16,923967.5,923967.5,MA0192PRCH1,128816.0,06.182.2040.22BO.0001,100,444042,13.587,2018-12-18,923967.5,2019-04-26,25/04/2020,ACOMPANHAMENTO - RECURSO TRANSFERIDO,5500,923967.5,,,246 days,129 days
2918456,16412025000132,BA,Jucuruçu,59053.005862/2021-99,REC-BA-2918456-20211213-01,2021,3287,3287,1AAOQH,12100,2021-12-27,4810075.89,4810075.89,BA3287HRCH0,213102.0,06.182.2218.22BO.6500,300,444042,01.102,2022-06-28,4810075.89,2023-10-10,08/10/2024,ACOMPANHAMENTO - RECURSO TRANSFERIDO,0,1443022.77,3367053.12,,183 days,469 days
4303608,88756929000196,RS,Cambará do Sul,59053.000863/2017-61,REC-RS-4303608-20170817-01,2017,8571,8571,693133,13214,2017-09-05,106132.9,106132.9,RS8571PCHU1,128816.0,06.182.2040.22BO.0001,100,444042,13.414,2017-12-01,106132.9,2018-03-01,01/03/2019,ACOMPANHAMENTO - RECURSO TRANSFERIDO,220,106132.9,,,87 days,90 days
3154903,18836957000138,MG,Rio Casca,59053.001601/2018-02,REC-MG-3154903-20180109-01,2018,5097,5097,697322,13214,2018-03-02,1462392.45,1462392.45,MG5097PRCH1,128816.0,06.182.2040.22BO.0001,100,444042,13.587,2018-10-16,1462392.45,2019-05-07,06/05/2020,ACOMPANHAMENTO - RECURSO TRANSFERIDO,15750,438717.74,1023674.72,,228 days,203 days
