ibge7,tempo_medio_analise,tempo_medio_liberacao,qtd
1100148,165 days 00:00:00,529 days 00:00:00,1
1101450,18 days 00:00:00,521 days 12:00:00,2
1200401,220 days 00:00:00,88 days 00:00:00,1
1200708,53 days 00:00:00,347 days 00:00:00,1
1302504,146 days 00:00:00,263 days 12:00:00,2
1302702,247 days 00:00:00,196 days 00:00:00,1
1500131,142 days 00:00:00,59 days 00:00:00,1
1501576,124 days 12:00:00,164 days 00:00:00,2
1502707,66 days 00:00:00,138 days 00:00:00,1
1502954,184 days 00:00:00,244 days 00:00:00,1
1503705,126 days 00:00:00,114 days 12:00:00,6
1504406,113 days 00:00:00,104 days 00:00:00,1
1504976,77 days 12:00:00,235 days 00:00:00,2
1505502,908 days 00:00:00,377 days 00:00:00,1
1505650,66 days 16:00:00,81 days 00:00:00,3
1506583,217 days 00:00:00,256 days 00:00:00,1
1507300,62 days 12:00:00,98 days 12:00:00,2
1508100,227 days 00:00:00,104 days 00:00:00,1
1710508,84 days 00:00:00,182 days 00:00:00,1
1716208,238 days 00:00:00,336 days 00:00:00,1
1720200,431 days 00:00:00,209 days 00:00:00,1
2100477,192 days 00:00:00,253 days 00:00:00,1
2100956,169 days 00:00:00,521 days 00:00:00,2
2102325,117 days 00:00:00,150 days 00:00:00,1
2102705,105 days 00:00:00,143 days 00:00:00,1
2105351,271 days 00:00:00,182 days 00:00:00,1
2106359,246 days 00:00:00,129 days 00:00:00,1
2106706,118 days 00:00:00,180 days 12:00:00,2
2106805,239 days 00:00:00,189 days 00:00:00,1
2108256,50 days 00:00:00,138 days 00:00:00,1
2111078,63 days 00:00:00,39 days 00:00:00,1
2300101,31 days 00:00:00,102 days 00:00:00,1
2301901,99 days 12:00:00,224 days 00:00:00,2
2305209,170 days 00:00:00,296 days 00:00:00,1
2307601,67 days 00:00:00,204 days 00:00:00,1
2308401,113 days 00:00:00,181 days 00:00:00,1
2311108,165 days 12:00:00,62 days 12:00:00,2
2314003,30 days 00:00:00,211 days 00:00:00,1
2403608,76 days 00:00:00,77 days 00:00:00,1
2406502,57 days 00:00:00,210 days 00:00:00,1
2408102,8 days 00:00:00,23 days 00:00:00,1
2413805,100 days 00:00:00,144 days 00:00:00,1
2513109,65 days 00:00:00,323 days 00:00:00,1
2603454,21 days 00:00:00,291 days 00:00:00,1
2604700,86 days 00:00:00,193 days 00:00:00,1
2604809,66 days 00:00:00,117 days 00:00:00,1
2606002,109 days 00:00:00,102 days 00:00:00,1
2606804,236 days 00:00:00,253 days 00:00:00,1
2607901,73 days 00:00:00,299 days 00:00:00,4
2608107,130 days 00:00:00,732 days 00:00:00,1
2610004,126 days 00:00:00,439 days 00:00:00,1
2610202,146 days 00:00:00,459 days 00:00:00,1
2615300,537 days 00:00:00,282 days 00:00:00,1
2702009,59 days 00:00:00,102 days 00:00:00,2
2703007,109 days 16:00:00,253 days 08:00:00,3
2703759,102 days 00:00:00,63 days 00:00:00,1
2704203,62 days 00:00:00,116 days 00:00:00,2
2706604,48 days 00:00:00,106 days 00:00:00,1
2706703,89 days 00:00:00,263 days 00:00:00,1
2708105,42 days 00:00:00,211 days 00:00:00,1
2708303,33 days 12:00:00,185 days 12:00:00,2
2708709,283 days 00:00:00,203 days 00:00:00,2
2801306,6 days 00:00:00,112 days 00:00:00,1
2802700,40 days 00:00:00,125 days 00:00:00,1
2806503,80 days 00:00:00,143 days 00:00:00,1
2901304,322 days 00:00:00,272 days 00:00:00,1
2903706,65 days 00:00:00,469 days 00:00:00,1
2903805,241 days 00:00:00,156 days 00:00:00,1
2904605,19 days 12:00:00,39 days 12:00:00,2
2906105,105 days 00:00:00,149 days 00:00:00,1
2906303,114 days 00:00:00,438 days 00:00:00,1
2907806,203 days 12:00:00,203 days 12:00:00,2
2909208,375 days 00:00:00,335 days 00:00:00,1
2910404,248 days 00:00:00,389 days 00:00:00,1
2910909,54 days 00:00:00,205 days 00:00:00,1
2911006,161 days 00:00:00,486 days 00:00:00,1
2911204,35 days 00:00:00,116 days 00:00:00,1
2911808,225 days 00:00:00,291 days 16:00:00,3
2912103,235 days 00:00:00,1012 days 00:00:00,1
2912301,32 days 00:00:00,71 days 00:00:00,1
2913507,262 days 00:00:00,452 days 00:00:00,1
2913606,150 days 12:00:00,248 days 00:00:00,2
2914802,155 days 00:00:00,271 days 00:00:00,1
2915700,59 days 00:00:00,115 days 00:00:00,1
2915809,109 days 12:00:00,261 days 00:00:00,2
2916203,262 days 00:00:00,532 days 00:00:00,1
2917607,185 days 00:00:00,183 days 00:00:00,1
2918456,183 days 00:00:00,355 days 00:00:00,2
2920601,202 days 00:00:00,316 days 00:00:00,1
2921104,180 days 00:00:00,127 days 00:00:00,1
2921450,445 days 00:00:00,329 days 00:00:00,1
2923001,4 days 00:00:00,221 days 00:00:00,1
2923506,203 days 00:00:00,208 days 00:00:00,1
2925105,247 days 00:00:00,228 days 00:00:00,1
2927705,64 days 00:00:00,174 days 00:00:00,1
2927804,177 days 00:00:00,146 days 00:00:00,1
2927903,150 days 00:00:00,197 days 00:00:00,1
2931608,20 days 12:00:00,100 days 00:00:00,2
2933307,106 days 00:00:00,516 days 00:00:00,1
2933505,58 days 12:00:00,273 days 12:00:00,2
3100302,184 days 12:00:00,223 days 20:00:00,6
3100500,62 days 00:00:00,183 days 00:00:00,1
3100609,138 days 00:00:00,214 days 00:00:00,2
3100906,262 days 00:00:00,340 days 12:00:00,2
3101508,69 days 00:00:00,281 days 00:00:00,1
3101706,115 days 00:00:00,82 days 00:00:00,1
3102308,161 days 12:00:00,215 days 00:00:00,2
3102506,66 days 00:00:00,314 days 00:00:00,1
3103009,224 days 00:00:00,392 days 00:00:00,1
3104007,85 days 00:00:00,126 days 00:00:00,1
3104403,92 days 00:00:00,63 days 00:00:00,1
3104502,104 days 08:00:00,235 days 00:00:00,3
3104700,39 days 12:00:00,160 days 00:00:00,2
3105004,26 days 00:00:00,294 days 00:00:00,1
3105103,217 days 00:00:00,110 days 00:00:00,1
3105509,43 days 00:00:00,136 days 00:00:00,1
3106606,0 days 00:00:00,41 days 00:00:00,1
