ibge7,Alagamento,Colapso,Corrida de massa,Deslizamento,Enchente,Enxurrada,Erosão,Expansão/Contração de argilas,Inundação,Outros,Queda,Rastejo,Subsidência,Tombamento,Alto,Muito alto,n_risco
1100015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1100023,0,0,0,3,0,0,2,0,8,0,1,0,0,0,14,0,14
1100049,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,16
1100064,6,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,7
1100080,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1100098,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
1100106,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
1100114,0,0,0,1,0,0,0,0,4,0,0,0,0,0,5,0,5
1100122,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2,4
1100130,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
1100148,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,2
1100155,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,0,3
1100189,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
1100205,0,0,0,5,0,0,12,0,52,0,0,0,0,0,50,19,69
1100288,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
1100296,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,2
1100304,0,0,0,0,0,0,4,0,2,0,0,0,0,0,4,2,6
1100338,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6
1100346,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1100379,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1100452,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,15
1100809,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,1,3
1100924,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
1101104,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
1101203,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1101450,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1101468,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
1101559,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
1200054,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,3
1200104,0,0,0,0,9,0,9,0,0,0,0,0,0,0,12,6,18
1200203,0,0,0,4,0,0,8,0,5,0,0,0,0,0,7,10,17
1200252,0,0,0,5,1,0,0,0,0,0,0,0,0,0,6,0,6
1200302,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,2,3
1200328,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1200344,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1200351,0,0,0,1,2,0,0,0,0,0,0,4,0,0,0,7,7
1200385,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,1,4
